smiles,ee
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1ccc(cc1)OC)(/c1ccccc1)\C.ClCCl,71
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\C.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1cc(cc(c1)C)C)(/c1ccccc1)\C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1cc(c(c(c1)OC)OC)OC)(/c1ccccc1)\C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1cc(c(c(c1)C)OC)C)(/c1ccccc1)\C.ClCCl,99
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\C.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1cc2c(cc1)cccc2)\C.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)C)\C.ClCCl,98
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)Cl)\C.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)C(F)(F)F)\C.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)F)\C.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)F)\C.ClCCl,93
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\CC.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\CCC.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(c1c(cccc1)P(c1ccccc1)c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,67
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1ccccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,96
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,81
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1ccccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)c1ccccc1.c1(ccccc1)C,90
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)c1ccccc1.c1(ccccc1)C,89
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Cl)c1ccccc1.[Cl-].ClCCl,87
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Br)c1ccccc1.[Cl-].ClCCl,91
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)C)c1ccccc1.[Cl-].ClCCl,82
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)OC)c1ccccc1.[Cl-].ClCCl,76
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(c(ccc1)C)C)c1ccccc1.[Cl-].ClCCl,86
